threshold,accuracy,precision,recall,specificity,f1_score,youden_index
0.1,0.9473684210526315,0.8913043478260869,0.9761904761904762,0.9305555555555556,0.9318181818181818,0.9067460317460316
0.15000000000000002,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9444444444444444,0.9425287356321839,0.9206349206349205
0.20000000000000004,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9444444444444444,0.9425287356321839,0.9206349206349205
0.25000000000000006,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9861111111111112,0.9761904761904762,0.9623015873015874
0.30000000000000004,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9861111111111112,0.9761904761904762,0.9623015873015874
0.3500000000000001,0.9736842105263158,0.975609756097561,0.9523809523809523,0.9861111111111112,0.963855421686747,0.9384920634920635
0.40000000000000013,0.9736842105263158,0.975609756097561,0.9523809523809523,0.9861111111111112,0.963855421686747,0.9384920634920635
0.45000000000000007,0.9736842105263158,0.975609756097561,0.9523809523809523,0.9861111111111112,0.963855421686747,0.9384920634920635
0.5000000000000001,0.9736842105263158,0.975609756097561,0.9523809523809523,0.9861111111111112,0.963855421686747,0.9384920634920635
0.5500000000000002,0.9736842105263158,1.0,0.9285714285714286,1.0,0.9629629629629629,0.9285714285714286
0.6000000000000002,0.9649122807017544,1.0,0.9047619047619048,1.0,0.95,0.9047619047619047
0.6500000000000001,0.9649122807017544,1.0,0.9047619047619048,1.0,0.95,0.9047619047619047
0.7000000000000002,0.9649122807017544,1.0,0.9047619047619048,1.0,0.95,0.9047619047619047
0.7500000000000002,0.9649122807017544,1.0,0.9047619047619048,1.0,0.95,0.9047619047619047
0.8000000000000002,0.9473684210526315,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8571428571428572
0.8500000000000002,0.9473684210526315,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8571428571428572
